banco,MAE,RMSE,MAPE
BancoEstado,0.13126221430557156,0.14568699581688685,1.9672509144066552
Banco de Chile,0.3028253943296256,0.3361584720914619,4.392168017083324
Santander,0.2574566184078384,0.29866467760966076,3.4041923134019854
BCI,0.5299965434954221,0.5440189010628994,7.308752064903376
